iter	Passed	Remaining
0	263	263719
1	319	159578
2	380	126570
3	451	112346
4	522	103893
5	591	97916
6	644	91494
7	702	87112
8	773	85132
9	835	82702
10	892	80253
11	983	80987
12	1069	81177
13	1149	80959
14	1209	79401
15	1262	77617
16	1322	76487
17	1387	75678
18	1445	74609
19	1500	73526
20	1566	73034
21	1659	73788
22	1741	73986
23	1811	73650
24	1875	73151
25	1959	73394
26	2030	73179
27	2090	72578
28	2142	71725
29	2207	71376
30	2266	70834
31	2339	70778
32	2390	70060
33	2478	70415
34	2543	70133
35	2672	71556
36	2739	71293
37	2809	71134
38	2883	71046
39	2966	71191
40	3024	70753
41	3105	70827
42	3179	70763
43	3243	70467
44	3294	69924
45	3364	69767
46	3417	69303
47	3470	68837
48	3526	68442
49	3602	68446
50	3685	68582
51	3749	68355
52	3851	68822
53	3926	68779
54	3994	68628
55	4084	68853
56	4152	68705
57	4218	68511
58	4292	68469
59	4353	68209
60	4431	68221
61	4498	68051
62	4556	67762
63	4623	67620
64	4706	67706
65	4769	67500
66	4831	67278
67	4883	66939
68	4943	66703
69	5009	66554
70	5068	66319
71	5137	66214
72	5200	66040
73	5256	65779
74	5323	65650
75	5396	65608
76	5461	65466
77	5525	65313
78	5577	65028
79	5641	64875
80	5696	64635
81	5762	64507
82	5815	64248
83	5907	64423
84	5971	64278
85	6037	64169
86	6108	64099
87	6179	64043
88	6239	63864
89	6284	63544
90	6356	63495
91	6445	63613
92	6511	63502
93	6589	63514
94	6649	63341
95	6710	63189
96	6799	63300
97	6857	63114
98	6922	63000
99	6993	62940
100	7040	62668
101	7107	62573
102	7166	62412
103	7220	62209
104	7296	62190
105	7348	61977
106	7406	61810
107	7477	61756
108	7538	61621
109	7620	61659
110	7688	61577
111	7773	61629
112	7824	61418
113	7885	61286
114	7952	61201
115	8033	61223
116	8094	61089
117	8145	60887
118	8210	60783
119	8270	60651
120	8368	60793
121	8432	60688
122	8527	60803
123	8601	60763
124	8660	60624
125	8719	60484
126	8773	60311
127	8829	60147
128	8879	59952
129	8927	59742
130	8972	59522
131	9022	59331
132	9072	59141
133	9105	58844
134	9153	58651
135	9224	58602
136	9303	58603
137	9361	58475
138	9452	58550
139	9507	58406
140	9590	58424
141	9657	58353
142	9733	58330
143	9801	58265
144	9886	58295
145	9946	58182
146	10012	58097
147	10076	58009
148	10158	58017
149	10276	58234
150	10417	58574
151	10581	59036
152	10667	59053
153	10722	58904
154	10796	58857
155	10858	58744
156	10917	58620
157	10980	58513
158	11050	58451
159	11111	58336
160	11200	58369
161	11306	58486
162	11355	58311
163	11406	58145
164	11471	58051
165	11534	57949
166	11602	57871
167	11673	57812
168	11728	57672
169	11800	57614
170	11857	57484
171	11943	57494
172	12051	57608
173	12120	57538
174	12178	57411
175	12242	57319
176	12307	57226
177	12367	57113
178	12423	56983
179	12487	56887
180	12549	56783
181	12611	56681
182	12670	56566
183	12736	56485
184	12790	56348
185	12858	56271
186	12920	56172
187	12980	56063
188	13050	55998
189	13138	56011
190	13209	55948
191	13282	55896
192	13349	55820
193	13407	55702
194	13471	55612
195	13582	55714
196	13669	55719
197	13730	55615
198	13800	55546
199	13853	55413
200	13936	55400
201	14023	55401
202	14079	55279
203	14149	55210
204	14225	55165
205	14301	55122
206	14360	55015
207	14433	54957
208	14493	54852
209	14562	54782
210	14631	54713
211	14732	54759
212	14798	54677
213	14894	54706
214	14956	54607
215	15019	54516
216	15084	54428
217	15149	54345
218	15230	54313
219	15282	54182
220	15409	54317
221	15477	54241
222	15561	54221
223	15620	54113
224	15672	53983
225	15741	53911
226	15818	53867
227	15876	53755
228	15956	53723
229	16050	53733
230	16125	53680
231	16224	53707
232	16316	53711
233	16387	53645
234	16456	53570
235	16551	53583
236	16588	53404
237	16620	53212
238	16650	53016
239	16684	52834
240	16715	52644
241	16745	52451
242	16781	52277
243	16839	52175
244	16883	52030
245	16955	51968
246	17028	51912
247	17086	51810
248	17136	51684
249	17207	51621
250	17288	51589
251	17346	51490
252	17409	51403
253	17464	51294
254	17534	51227
255	17613	51187
256	17695	51159
257	17762	51083
258	17839	51037
259	17891	50920
260	17957	50844
261	18030	50786
262	18091	50697
263	18158	50623
264	18222	50540
265	18285	50458
266	18398	50508
267	18491	50507
268	18551	50413
269	18604	50301
270	18665	50210
271	18751	50188
272	18805	50079
273	18864	49984
274	18956	49975
275	19016	49883
276	19083	49808
277	19145	49722
278	19204	49627
279	19255	49513
280	19349	49508
281	19403	49403
282	19477	49347
283	19547	49280
284	19603	49179
285	19674	49116
286	19746	49055
287	19814	48986
288	19872	48890
289	19939	48816
290	20012	48758
291	20125	48797
292	20191	48721
293	20279	48697
294	20329	48582
295	20390	48497
296	20466	48443
297	20543	48394
298	20607	48313
299	20657	48201
300	20724	48128
301	20812	48103
302	20877	48025
303	20949	47962
304	21013	47883
305	21072	47791
306	21136	47713
307	21192	47613
308	21249	47520
309	21326	47468
310	21373	47351
311	21447	47294
312	21534	47264
313	21606	47203
314	21677	47139
315	21740	47059
316	21808	46988
317	21869	46901
318	21930	46817
319	21962	46669
320	22000	46537
321	22055	46440
322	22104	46330
323	22170	46256
324	22233	46177
325	22293	46090
326	22350	46000
327	22404	45902
328	22464	45815
329	22521	45725
330	22585	45648
331	22633	45539
332	22710	45488
333	22775	45414
334	22844	45347
335	22903	45262
336	22968	45187
337	23036	45119
338	23109	45060
339	23166	44970
340	23224	44883
341	23286	44802
342	23338	44703
343	23399	44621
344	23451	44523
345	23504	44427
346	23556	44329
347	23628	44269
348	23691	44192
349	23761	44128
350	23839	44078
351	23917	44030
352	23968	43930
353	24033	43858
354	24092	43773
355	24155	43697
356	24225	43632
357	24281	43544
358	24349	43475
359	24396	43371
360	24446	43271
361	24535	43242
362	24609	43184
363	24679	43122
364	24747	43053
365	24843	43034
366	24906	42958
367	24979	42900
368	25046	42830
369	25108	42752
370	25176	42683
371	25251	42628
372	25303	42534
373	25361	42449
374	25413	42355
375	25483	42291
376	25546	42216
377	25598	42122
378	25691	42096
379	25764	42036
380	25821	41951
381	25879	41867
382	25945	41796
383	26015	41732
384	26084	41667
385	26140	41581
386	26214	41522
387	26286	41462
388	26368	41416
389	26445	41364
390	26510	41290
391	26572	41214
392	26649	41160
393	26736	41123
394	26806	41058
395	26860	40968
396	26929	40902
397	26986	40818
398	27063	40764
399	27136	40704
400	27193	40621
401	27264	40557
402	27325	40480
403	27415	40444
404	27469	40355
405	27514	40255
406	27567	40165
407	27617	40072
408	27674	39988
409	27747	39929
410	27796	39835
411	27853	39751
412	27917	39680
413	27996	39627
414	28052	39544
415	28111	39464
416	28178	39395
417	28242	39323
418	28310	39255
419	28403	39223
420	28469	39153
421	28542	39093
422	28598	39010
423	28673	38952
424	28729	38869
425	28798	38804
426	28865	38735
427	28956	38699
428	29026	38633
429	29099	38574
430	29185	38530
431	29269	38483
432	29330	38406
433	29390	38330
434	29439	38237
435	29538	38209
436	29626	38169
437	29696	38103
438	29755	38025
439	29810	37940
440	29880	37875
441	29955	37816
442	30029	37756
443	30103	37697
444	30178	37638
445	30251	37576
446	30316	37505
447	30401	37459
448	30466	37387
449	30547	37335
450	30621	37275
451	30675	37190
452	30741	37120
453	30819	37064
454	30888	36998
455	30947	36919
456	31011	36846
457	31093	36795
458	31163	36730
459	31233	36665
460	31280	36572
461	31336	36491
462	31382	36398
463	31442	36321
464	31492	36232
465	31550	36154
466	31603	36069
467	31681	36014
468	31750	35947
469	31805	35866
470	31876	35801
471	31937	35726
472	31990	35642
473	32061	35579
474	32115	35496
475	32172	35416
476	32228	35336
477	32290	35262
478	32372	35210
479	32426	35129
480	32489	35056
481	32554	34986
482	32613	34909
483	32680	34841
484	32750	34776
485	32820	34711
486	32899	34656
487	32972	34594
488	33029	34515
489	33103	34454
490	33163	34379
491	33221	34302
492	33292	34237
493	33357	34168
494	33410	34085
495	33456	33996
496	33513	33917
497	33572	33841
498	33634	33769
499	33711	33711
500	33771	33636
501	33830	33561
502	33894	33490
503	33971	33432
504	34021	33347
505	34086	33278
506	34150	33207
507	34242	33164
508	34327	33113
509	34385	33037
510	34459	32975
511	34540	32921
512	34610	32856
513	34694	32804
514	34769	32743
515	34850	32688
516	34924	32628
517	34977	32547
518	35055	32488
519	35118	32416
520	35199	32361
521	35253	32281
522	35332	32224
523	35393	32151
524	35483	32104
525	35572	32055
526	35622	31972
527	35696	31910
528	35758	31838
529	35834	31777
530	35917	31723
531	35975	31647
532	36055	31590
533	36132	31531
534	36200	31464
535	36278	31405
536	36341	31333
537	36397	31255
538	36462	31186
539	36533	31121
540	36601	31054
541	36664	30981
542	36756	30934
543	36821	30865
544	36881	30790
545	36937	30713
546	37023	30661
547	37105	30604
548	37183	30546
549	37302	30519
550	37364	30447
551	37444	30389
552	37505	30316
553	37557	30235
554	37634	30175
555	37684	30093
556	37744	30019
557	37813	29952
558	37872	29878
559	37931	29803
560	37988	29727
561	38050	29654
562	38121	29590
563	38180	29515
564	38243	29444
565	38306	29372
566	38370	29302
567	38430	29228
568	38510	29170
569	38564	29092
570	38666	29050
571	38714	28967
572	38767	28889
573	38841	28826
574	38898	28751
575	38972	28688
576	39029	28612
577	39081	28533
578	39146	28464
579	39230	28408
580	39288	28333
581	39344	28257
582	39401	28182
583	39447	28099
584	39496	28019
585	39553	27944
586	39615	27872
587	39690	27810
588	39749	27736
589	39841	27686
590	39931	27634
591	39976	27551
592	40053	27490
593	40167	27454
594	40247	27395
595	40312	27326
596	40383	27260
597	40447	27190
598	40537	27137
599	40606	27070
600	40681	27008
601	40745	26937
602	40812	26869
603	40869	26795
604	40930	26723
605	41006	26661
606	41063	26586
607	41147	26529
608	41249	26483
609	41325	26421
610	41390	26351
611	41475	26295
612	41532	26220
613	41627	26169
614	41692	26100
615	41781	26045
616	41858	25983
617	41925	25914
618	41999	25850
619	42074	25787
620	42132	25713
621	42190	25639
622	42242	25562
623	42302	25489
624	42376	25425
625	42451	25362
626	42520	25295
627	42595	25231
628	42667	25166
629	42720	25089
630	42809	25034
631	42886	24971
632	42959	24907
633	43031	24841
634	43096	24771
635	43147	24694
636	43214	24626
637	43274	24553
638	43336	24482
639	43401	24413
640	43465	24343
641	43521	24269
642	43583	24197
643	43678	24145
644	43731	24069
645	43796	24000
646	43851	23925
647	43926	23861
648	44004	23798
649	44094	23743
650	44156	23672
651	44243	23614
652	44316	23549
653	44369	23473
654	44416	23395
655	44464	23316
656	44511	23237
657	44562	23161
658	44605	23080
659	44641	22996
660	44690	22919
661	44742	22844
662	44798	22770
663	44853	22696
664	44923	22630
665	44981	22558
666	45044	22488
667	45096	22413
668	45176	22352
669	45245	22285
670	45307	22214
671	45369	22144
672	45432	22074
673	45493	22004
674	45547	21930
675	45607	21859
676	45672	21790
677	45736	21721
678	45803	21653
679	45875	21588
680	45945	21522
681	46059	21476
682	46126	21408
683	46158	21324
684	46231	21259
685	46323	21203
686	46396	21138
687	46463	21070
688	46524	21000
689	46594	20933
690	46662	20866
691	46740	20803
692	46789	20727
693	46873	20667
694	46945	20601
695	47010	20533
696	47064	20459
697	47125	20389
698	47175	20314
699	47258	20253
700	47320	20183
701	47384	20114
702	47468	20054
703	47556	19995
704	47613	19923
705	47683	19856
706	47748	19788
707	47833	19728
708	47900	19660
709	47964	19590
710	48022	19519
711	48092	19452
712	48158	19385
713	48224	19316
714	48288	19247
715	48346	19176
716	48387	19098
717	48412	19014
718	48437	18930
719	48463	18847
720	48488	18763
721	48515	18680
722	48535	18595
723	48560	18512
724	48584	18428
725	48609	18345
726	48635	18263
727	48660	18180
728	48685	18098
729	48709	18015
730	48733	17933
731	48759	17851
732	48782	17769
733	48806	17687
734	48831	17605
735	48857	17524
736	48881	17443
737	48906	17362
738	48929	17281
739	48955	17200
740	48980	17120
741	49003	17038
742	49043	16963
743	49101	16895
744	49158	16826
745	49218	16758
746	49286	16692
747	49360	16629
748	49427	16563
749	49491	16497
750	49552	16429
751	49632	16368
752	49694	16300
753	49752	16232
754	49810	16163
755	49877	16098
756	49963	16038
757	50034	15974
758	50099	15907
759	50151	15837
760	50212	15769
761	50276	15703
762	50369	15645
763	50459	15587
